Date,Name,ELO_smooth
2015-01-02,Aaryan Pandit,NA
2015-01-02,Abir Deshpande,NA
2015-01-02,Alan Pietrzyk,NA
2015-01-02,Alan Spice,NA
2015-01-02,Aled George,NA
2015-01-02,Alex Bullen,NA
2015-01-02,Alex Freeland,NA
2015-01-02,Alex Wills,NA
2015-01-02,Andrei Zhuravlev,NA
2015-01-02,Anezka Vlkova,NA
2015-01-02,Angus Lloyd,NA
2015-01-02,Anlan Qiu,NA
2015-01-02,Ashika Shahameeran,NA
2015-01-02,Aviral Batra,NA
2015-01-02,Ayodele Sadiq,NA
2015-01-02,Barbara Graczyk-Gibiec,NA
2015-01-02,Benjamin Oh,NA
2015-01-02,Bertie Carvey,NA
2015-01-02,Bethan Mattingley,NA
2015-01-02,Bill Harle,NA
2015-01-02,Bill Hunt,NA
2015-01-02,Bill Wilkins,NA
2015-01-02,Celso Bettencourt Pinto,NA
2015-01-02,Charles Summers,NA
2015-01-02,Chris Fox,NA
2015-01-02,Chris Golding,NA
2015-01-02,Chris Hooper,NA
2015-01-02,Christine Muschiato,NA
2015-01-02,Cian Grattidge,NA
2015-01-02,Con Ariti,NA
2015-01-02,Connor Evans,NA
2015-01-02,Conor Hunt,NA
2015-01-02,Csege Hanczar,NA
2015-01-02,Csombor Hanczar,NA
2015-01-02,Cyril Ley,NA
2015-01-02,Dave McGhee,NA
2015-01-02,David L Roberts,NA
2015-01-02,David ODonnell,NA
2015-01-02,David Thorne,NA
2015-01-02,Dennis Stokes-Carter,NA
2015-01-02,Derek Jones,NA
2015-01-02,Derek Smith,NA
2015-01-02,Dominic Murray,NA
2015-01-02,Edward Donovan,NA
2015-01-02,Edward Mason,NA
2015-01-02,Egor Muljarov,NA
2015-01-02,Elliott MacNeil,NA
2015-01-02,Emma Kong,NA
2015-01-02,Evan Lewis,NA
2015-01-02,Gavin Jones,NA
2015-01-02,George Turner,NA
2015-01-02,Georgi Korovski,NA
2015-01-02,Greg Lloyd,NA
2015-01-02,Gruff Jones,NA
2015-01-02,Grzegorz Toczek,NA
2015-01-02,Guy Wagner,NA
2015-01-02,Hamid Farani Sani,NA
2015-01-02,Hanni Youssef,NA
2015-01-02,HaoYu Yin,NA
2015-01-02,Harri Hampson,NA
2015-01-02,Hefin Jones,NA
2015-01-02,Henry Jones,NA
2015-01-02,Hugh Price,NA
2015-01-02,Ieuan Bevan Jones,NA
2015-01-02,Isaac Aljabri,NA
2015-01-02,Ivan De La Cruz,NA
2015-01-02,Jack Nicol,NA
2015-01-02,Jaime Davies,NA
2015-01-02,Jake Hurley,NA
2015-01-02,James Tapp,NA
2015-01-02,Javier Martin Perez,NA
2015-01-02,Jeff Rowland,NA
2015-01-02,Jen Taylor,NA
2015-01-02,Joe Fathallah,2010
2015-01-02,John Fletcher,NA
2015-01-02,John Hannay,NA
2015-01-02,John Rowles,NA
2015-01-02,John Trevelyan,NA
2015-01-02,Jonathan Bold,NA
2015-01-02,Jonathan Lewis,NA
2015-01-02,Joseph Sartin,NA
2015-01-02,Joseph Setchfield,NA
2015-01-02,Josh Robinson,NA
2015-01-02,Joshua McKenna,NA
2015-01-02,Juan Carlos Payan,NA
2015-01-02,Juan Rodriguez,NA
2015-01-02,Jude Roberts,NA
2015-01-02,Keith Thompson,NA
2015-01-02,Kimberly Chong,NA
2015-01-02,Kristan Enoch,NA
2015-01-02,Krzysztof Jakubiak,NA
2015-01-02,Leon Zedlmayer,NA
2015-01-02,Marcell Vesz,NA
2015-01-02,Mark Maddock,NA
2015-01-02,Martin Blackman-Siegler,NA
2015-01-02,Mateusz Graczyk,NA
2015-01-02,Matt Staniforth,NA
2015-01-02,Matthew Davies,NA
2015-01-02,Matthew Wilson,NA
2015-01-02,Micah OToole,NA
2015-01-02,Michael Arribas-Ayllon,NA
