Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
2022-04-30,Nigel R Davies,Neil Berry,NA,2327,ENG,0,2467,0.7,0.7,0
2022-05-01,Nigel R Davies,Keith C Arkell,NA,2437,ENG,0,2461,1.25,0.55,0
2022-05-02,Nigel R Davies,Borna Derakhshani,NA,2438,ENG,0.5,2461,1.8,0.55,0.5
2022-06-25,Nigel R Davies,Jose Camacho Collados,e1 jose camacho collados,2461,E1,0.5,2461,2.32,0.52,1
2022-06-26,Nigel R Davies,Peter T Roberson,NA,2502,ENG,0,2456,2.78,0.46,1
2022-02-20,Jose Camacho Collados,Tim Kett,e1 tim kett,2246,E1,1,2463,0.78,0.78,1
2022-02-23,Jose Camacho Collados,Zala Urh,NA,2307,FIDE,0,2456,1.49,0.71,1
2022-02-24,Jose Camacho Collados,David J Eggleston,NA,2389,ENG,1,2460,2.09,0.6,2
2022-02-24,Jose Camacho Collados,Jonah B Willow,NA,2431,ENG,0.5,2460,2.63,0.54,2.5
2022-02-25,Jose Camacho Collados,William Claridge-Hansen,NA,2417,ENG,1,2464,3.19,0.56,3.5
2022-02-25,Jose Camacho Collados,Shreyas Royal,NA,2245,ENG,0.5,2461,3.97,0.78,4
2022-02-26,Jose Camacho Collados,Adam G Ashton,NA,2439,ENG,0.5,2461,4.5,0.53,4.5
2022-02-26,Jose Camacho Collados,Yichen Han,NA,2407,ENG,1,2465,5.08,0.58,5.5
2022-02-27,Jose Camacho Collados,Stephen R Mannion,NA,2283,ENG,1,2468,5.82,0.74,6.5
2022-02-27,Jose Camacho Collados,Paul Macklin,NA,2349,ENG,0.5,2466,6.48,0.66,7
2022-03-26,Jose Camacho Collados,Joseph McPhillips,NA,2464,ENG,1,2471,6.98,0.5,8
2022-03-27,Jose Camacho Collados,James P Holland,NA,2373,ENG,0,2465,7.6,0.62,8
2022-04-15,Jose Camacho Collados,James Lavender,g1 james lavender,2092,G1,1,2466,8.49,0.89,9
2022-04-15,Jose Camacho Collados,Tim Kett,e1 tim kett,2246,E1,1,2468,9.27,0.78,10
2022-04-16,Jose Camacho Collados,Jonathan LB Blackburn,g1 jonathan lb blackburn,2308,G1,0.5,2466,9.98,0.71,10.5
2022-04-16,Jose Camacho Collados,Alex Bullen,e1 alex bullen,2098,E1,1,2467,10.87,0.89,11.5
2022-04-17,Jose Camacho Collados,Daniel Kozusek,e1 daniel kozusek,2411,E1,0.5,2467,11.44,0.57,12
2022-04-18,Jose Camacho Collados,Grzegorz Toczek,e1 grzegorz toczek,2328,E1,0.5,2465,12.12,0.68,12.5
2022-04-18,Jose Camacho Collados,Joe Fathallah,e1 joe fathallah,1999,E1,1,2466,13.02,0.9,13.5
2022-06-25,Jose Camacho Collados,Nigel R Davies,n1 nigel r davies,2474,N1,0.5,2466,13.5,0.48,14
2022-06-26,Jose Camacho Collados,David J Eggleston,NA,2367,ENG,0.5,2465,14.13,0.63,14.5
2022-02-25,Daniel Kozusek,Mark I Collinson,NA,2034,ENG,1,2412,0.9,0.9,1
2022-02-26,Daniel Kozusek,Kevin P Millward,NA,2088,ENG,1,2413,1.77,0.87,2
2022-02-26,Daniel Kozusek,Philip J Holt,NA,2159,ENG,1,2415,2.58,0.81,3
2022-02-27,Daniel Kozusek,Jake M Sanger,NA,2343,FIDE,1,2419,3.18,0.6,4
2022-02-27,Daniel Kozusek,Nigel Birtwistle,NA,2167,ENG,0.5,2416,3.98,0.8,4.5
2022-04-15,Daniel Kozusek,Jason Garcia,w1 jason garcia,2070,W1,1,2418,4.86,0.88,5.5
2022-04-15,Daniel Kozusek,Alex Bullen,e1 alex bullen,2098,E1,0,2409,5.72,0.86,5.5
2022-04-16,Daniel Kozusek,Sven Zeidler,n1 sven zeidler,2234,N1,1,2412,6.45,0.73,6.5
2022-04-16,Daniel Kozusek,Elijah Everett,n1 elijah everett,2297,N1,1,2415,7.11,0.66,7.5
2022-04-17,Daniel Kozusek,Jose Camacho Collados,e1 jose camacho collados,2461,E1,0.5,2416,7.54,0.43,8
2022-04-18,Daniel Kozusek,Jonathan LB Blackburn,g1 jonathan lb blackburn,2308,G1,1,2419,8.18,0.64,9
2022-04-18,Daniel Kozusek,Grzegorz Toczek,e1 grzegorz toczek,2328,E1,0.5,2418,8.8,0.62,9.5
2022-05-21,Daniel Kozusek,Kirill Astanovsky,NA,2112,FIDE,1,2420,9.65,0.85,10.5
2022-05-22,Daniel Kozusek,Dejan Nestorovic,NA,2321,FIDE,1,2423,10.28,0.63,11.5
2022-05-23,Daniel Kozusek,Zoran Arsovic,NA,2360,FIDE,0,2418,10.85,0.57,11.5
2022-05-24,Daniel Kozusek,Zachary Dukic,NA,2243,FIDE,1,2420,11.57,0.72,12.5
2022-05-25,Daniel Kozusek,Katarina Nestorovic,NA,2051,FIDE,0,2411,12.46,0.89,12.5
2022-05-26,Daniel Kozusek,Dimitrios Pappelis,NA,2170,FIDE,0.5,2408,13.26,0.8,13
2022-05-27,Daniel Kozusek,Dr. Giso Jahncke,NA,2321,FIDE,0.5,2407,13.89,0.63,13.5
2022-05-28,Daniel Kozusek,Boroljub Zlatanovic,NA,2341,FIDE,0.5,2406,14.49,0.6,14
2022-05-29,Daniel Kozusek,Mike Ivanov,NA,2342,FIDE,1,2410,15.09,0.6,15
2022-04-15,Grzegorz Toczek,Pat Bennett,n1 pat bennett,2037,N1,1,2330,0.84,0.84,1
2022-04-15,Grzegorz Toczek,Ifan Rathbone-Jones,n1 ifan rathbone-jones,2063,N1,1,2331,1.66,0.82,2
2022-04-16,Grzegorz Toczek,Alex Bullen,e1 alex bullen,2098,E1,0,2323,2.45,0.79,2
2022-04-16,Grzegorz Toczek,Jonathan LB Blackburn,g1 jonathan lb blackburn,2308,G1,0.5,2323,2.98,0.53,2.5
2022-04-17,Grzegorz Toczek,Sven Zeidler,n1 sven zeidler,2234,N1,1,2327,3.61,0.63,3.5
2022-04-18,Grzegorz Toczek,Jose Camacho Collados,e1 jose camacho collados,2461,E1,0.5,2329,3.93,0.32,4
2022-04-18,Grzegorz Toczek,Daniel Kozusek,e1 daniel kozusek,2411,E1,0.5,2330,4.31,0.38,4.5
2022-01-28,Jonathan LB Blackburn,Jacob Connor Boswell,NA,2217,ENG,0,2302,0.63,0.63,0
2022-02-12,Jonathan LB Blackburn,Hamish Olson,NA,2339,ENG,0,2297,1.09,0.46,0
2022-02-13,Jonathan LB Blackburn,Gawain Jones,NA,2658,ENG,0,2296,1.21,0.12,0
2022-03-26,Jonathan LB Blackburn,Szymon Pozimski,NA,2163,ENG,0.5,2294,1.91,0.7,0.5
2022-03-27,Jonathan LB Blackburn,Tim P Wall,NA,1,G1,0.5,2289,2.91,1,1
2022-04-15,Jonathan LB Blackburn,James Thomas,e1 james thomas,1971,E1,1,2290,3.78,0.87,2
