GameNo,Date,Player1,Player2,OppKey,OppRating_Display,RatingType,Result,New,Tot,Exp,Pts
1,2021-09-04,Grzegorz Toczek,Wojciech Reza,NA,2277,FIDE,1,2330,0.57,0.57,1
2,2021-09-05,Grzegorz Toczek,Lukasz Nowak,NA,2337,FIDE,0.5,2330,1.05,0.48,1.5
3,2021-09-06,Grzegorz Toczek,Karol Kucza,NA,2322,FIDE,1,2335,1.56,0.51,2.5
4,2021-09-07,Grzegorz Toczek,Jakub Suder,NA,2339,FIDE,0,2331,2.04,0.48,2.5
5,2021-09-08,Grzegorz Toczek,Piotr Brodowski,NA,2439,FIDE,1,2337,2.38,0.34,3.5
6,2021-09-09,Grzegorz Toczek,Kamil Szadkowski,NA,2338,FIDE,0.5,2337,2.86,0.48,4
7,2021-09-10,Grzegorz Toczek,Radoslaw Barski,NA,2442,FIDE,0,2334,3.2,0.34,4
8,2021-09-11,Grzegorz Toczek,Kamil Dzida,NA,2224,FIDE,0.5,2333,3.84,0.64,4.5
9,2021-09-12,Grzegorz Toczek,M Nowak,NA,2310,FIDE,0.5,2332,4.36,0.52,5
10,2021-11-13,Grzegorz Toczek,Anish Giri,NA,2774,FIDE,0,2331,4.46,0.1,5
11,2021-11-14,Grzegorz Toczek,Dritan Mehmeti,NA,2391,FIDE,1,2337,4.87,0.41,6
12,2021-11-15,Grzegorz Toczek,Jan Subelj,NA,2458,FIDE,0,2334,5.19,0.32,6
13,2021-11-16,Grzegorz Toczek,Hjorvar Steinn Gretarsson,NA,2574,FIDE,0,2332,5.38,0.19,6
14,2021-11-18,Grzegorz Toczek,Alan Tate,NA,2380,ENG,1,2338,5.8,0.42,7
15,2021-11-19,Grzegorz Toczek,Tarun Kanyamarala,NA,2325,IRL,0,2333,6.3,0.5,7
16,2021-11-20,Grzegorz Toczek,Nderim Saraci,NA,2486,FIDE,0,2330,6.58,0.28,7
17,2021-11-21,Grzegorz Toczek,Daniel Dardha,NA,2525,FIDE,0,2328,6.82,0.24,7
1,2021-06-23,Carl Strugnell,Nikola Slavic,NA,1829,FIDE,1,2270,0.9,0.9,1
2,2021-06-23,Carl Strugnell,Misa Pap,NA,2431,FIDE,0,2265,1.18,0.28,1
3,2021-06-23,Carl Strugnell,Yagis Kaan Erdogmus,NA,1955,FIDE,0.5,2259,2.04,0.86,1.5
4,2021-06-24,Carl Strugnell,Tamas Tancsa,NA,2087,FIDE,1,2264,2.78,0.74,2.5
5,2021-06-24,Carl Strugnell,Drasko Boskovic,NA,2451,FIDE,0,2259,3.04,0.26,2.5
6,2021-06-25,Carl Strugnell,Branislav Parkajic,NA,2078,FIDE,1,2263,3.79,0.75,3.5
7,2021-06-25,Carl Strugnell,Parviz Gasimov,NA,2341,FIDE,0,2257,4.19,0.4,3.5
8,2021-06-26,Carl Strugnell,Konstantin Kandjolas,NA,2017,FIDE,1,2260,5,0.81,4.5
9,2021-06-26,Carl Strugnell,Can Haktan Unat,NA,2130,FIDE,0,2249,5.69,0.69,4.5
10,2021-07-02,Carl Strugnell,Daniel Fernandez,NA,2440,FIDE,0.5,2253,5.96,0.27,5
11,2021-07-03,Carl Strugnell,Denis Kadric,NA,2564,FIDE,0,2250,6.11,0.15,5
12,2021-07-04,Carl Strugnell,Antonios Kalogridis,NA,2080,FIDE,0,2238,6.86,0.75,5
13,2021-07-05,Carl Strugnell,Oriane Soubirou,NA,2101,FIDE,1,2243,7.58,0.72,6
14,2021-07-06,Carl Strugnell,P V Nandhidhaa,NA,2365,FIDE,0,2237,7.94,0.36,6
15,2021-07-07,Carl Strugnell,Masa Maksimovic,NA,2008,FIDE,0.5,2232,8.76,0.82,6.5
16,2021-07-08,Carl Strugnell,Anna Khachatryan,NA,1966,FIDE,0.5,2226,9.61,0.85,7
17,2021-07-09,Carl Strugnell,Abhimanyu Puranik,NA,2589,FIDE,0,2224,9.75,0.14,7
18,2021-07-09,Carl Strugnell,Kata Karacsonyi,NA,2107,FIDE,1,2229,10.47,0.72,8
